Purchase_Order_Description,Manufacturer,Part_Number,Vendor_Description
"2"" Husky HD2000 Coupling",ANACO,ANACO2006(75/BOX),2 HD2000 OT HD NH CPLG
"3"" Husky HD2000 Coupling",ANACO,ANACO2008(48/BOX),3 HD2000 OT HD NH CPLG
"4"" Husky HD2000 Coupling",ANACO,ANACO2010(48/BOX),4 HD2000 OT HD NH CPLG
"6"" Husky HD2000 Coupling",ANACO,ANACO2014(15/BOX),6 HD2000 OT HD NH CPLG
"8"" Husky HD2000 Coupling",ANACO,ANACO2016(15/BOX),8 HD2000 OT HD NH CPLG
"10"" Husky HD2000 Coupling",ANACO,ANACO2017(12/BOX),10 HD2000 OT HD NH CPLG
"12"" Husky SD4000 Coupling",ANACO,ANACO4018(2/BOX),12 SD4000 ORNG HD NH CPLG
"2"" CU Sweat 90",ELKHART PRODUCTS CORP,EPC10031322MUELW02086,2 CXC 90
"6"" CU Sweat 90",ELKHART PRODUCTS CORP,EPC10031368(1/BX)(1/CASE),6 CXC 90 EL
"4"" NHCI P-Trap",AB&I FOUNDRY,AB&I00838,6X3 NO HUB SAN TEE
"4"" NHCI P-Trap",AB&I FOUNDRY,AB&I02512,4 NO HUB P-TRAP
"6""x3"" NHCI San Tee",AB&I FOUNDRY,AB&I00838,6X3 NO HUB SAN TEE
"6""x3"" NHCI San Tee",AB&I FOUNDRY,AB&I02512,4 NO HUB P-TRAP
"6"" NHCI P-Trap",AB&I FOUNDRY,AB&I02514,6 NO HUB P-TRAP
"2"" NHCI P-Trap w/ 1/2"" Primer Tap",AB&I FOUNDRY,AB&I08530,2 NO HUB TAPPED P-TRAP
"3"" NHCI P-Trap w/ 1/2"" Primer Tap",AB&I FOUNDRY,AB&I08532,3 NO HUB TAPPED P-TRAP
"4"" NHCI P-Trap w/ 1/2"" Primer Tap",AB&I FOUNDRY,AB&I08534,4 NO HUB TAPPED P-TRAP
"6"" NHCI P-Trap w/ 1/2"" Primer Tap",CHARLOTTE PIPE & FOUNDRY,1/2INTAPCHARLOTTE13917,6 NO HUB TAPPED P-TRAP
"6"" NHCI Blind Plug",AB&I FOUNDRY,AB&I02490,6 NO HUB BLIND PLUG
"6""x3"" NHCI Short Reducer",AB&I FOUNDRY,SHORTPATTERNAB&I02154,6X3 NO HUB REDUCER
"6""x4"" NHCI Short Reducer",AB&I FOUNDRY,SHORTPATTERNAB&I02156,6X4 NO HUB REDUCER
"8""x6"" NHCI Short Reducer",AB&I FOUNDRY,SHORTPATTERNAB&I02168,8X6 NO HUB REDUCER
"12""x4"" NHCI Short Reducer",AB&I FOUNDRY,SHORTPATTERNAB&I02184,12X4 NO HUB REDUCER
"12""x8"" NHCI Short Reducer",AB&I FOUNDRY,SHORTPATTERNAB&I02188,12X8 NO HUB REDUCER
"6"" NHCI San Tee",AB&I FOUNDRY,AB&I00836,6 NO HUB SAN TEE
"8"" NHCI San Tee",AB&I FOUNDRY,AB&I00850,8 NO HUB SAN TEE
"4"" NHCI Clean Out Tee",AB&I FOUNDRY,AB&I02050,4 NO HUB CLEANOUT TEE
"4"" NHCI Wye",AB&I FOUNDRY,AB&I01324,4 NO HUB WYE
"4""x2"" NHCI Wye",AB&I FOUNDRY,AB&I01320,4X2 NO HUB WYE
"4""x3"" NHCI Wye",AB&I FOUNDRY,AB&I01322,4X3 NO HUB WYE
"6""x4"" NHCI Wye",AB&I FOUNDRY,AB&I01338,6X4 NO HUB WYE
"8"" NHCI Wye",AB&I FOUNDRY,AB&I01354,8 NO HUB WYE
"12"" NHCI Wye",AB&I FOUNDRY,AB&I01372,12 NO HUB WYE
"4""x2"" NHCI Upright Wye",AB&I FOUNDRY,AB&I01652,4X2 NO HUB UPRIGOT WYE
"3"" NHCI Pipe",AB&I FOUNDRY,***480FT/LIFT***AB&I00160,3X10 NO HUB PIPE
"4"" NHCI Pipe",AB&I FOUNDRY,***300FT/LIFT***AB&I00162,4X10 NO HUB PIPE
"6"" NHCI Pipe",AB&I FOUNDRY,***210FT/LIFT***AB&I00168,6X10 NO HUB PIPE
"1 1/2"" Type K CU Tube",CAMBRIDGELEE INDUSTRIES,MUELKH14020CAMB,1 1/2X20 K HARD
"3"" Type K CU Tube",CAMBRIDGELEE INDUSTRIES,MUELKH30020CAMB,3X20 K HARD COPPER
"3"" Type L CU Tube",CAMBRIDGELEE INDUSTRIES,MUELLH30020CAMB,3X20 L HARD COPPER
"3"" NHCI 1/8 Bend",AB&I FOUNDRY,AB&I00608,3 NO HUB 45
"4"" NHCI 1/8 Bend",AB&I FOUNDRY,AB&I00610,4 NO HUB 45
"3"" NHCI 1/4 Bend",AB&I FOUNDRY,NHREG1/4BENDAB&I00192,3 NO HUB 90
"3"" NHCI Short Sweep 1/4 Bend",AB&I FOUNDRY,NHCODE1/4BENDAB&I00464,3 NO HUB SHORT SWEEP CODE
"4"" NHCI Short Sweep 1/4 Bend",AB&I FOUNDRY,NHCODE1/4BENDAB&I00468,4 NO HUB SHORT SWEEP CODE
"6"" NHCI Short Sweep 1/4 Bend",AB&I FOUNDRY,NHCODE1/4BENDAB&I00472,6 NO HUB SHORT SWEEP CODE
"4"" NHCI 1/16 Bend",AB&I FOUNDRY,AB&I00682,4 NO HUB 22
"6"" NHCI Combo",AB&I FOUNDRY,AB&I01726,6 NO HUB COMBO
"6""x3"" NHCI Combo",AB&I FOUNDRY,AB&I01720,6X3 NO HUB COMBO
"6""x4"" NHCI Combo",AB&I FOUNDRY,AB&I01722,6X4 NO HUB COMBO
"3"" Husky HD2000 Coupling",ANACO,ANACO2008(48/BOX),3 HD2000 OT HD NH CPLG
"4"" Husky HD2000 Coupling",ANACO,ANACO2010(48/BOX),4 HD2000 OT HD NH CPLG
"6"" Husky HD2000 Coupling",ANACO,ANACO2014(15/BOX),6 HD2000 OT HD NH CPLG
"8"" Husky HD2000 Coupling",ANACO,ANACO2016(15/BOX),8 HD2000 OT HD NH CPLG
"1 1/2"" CU Sweat 90",ELKHART PRODUCTS CORP,EPC10031314MUELW02085,1 1/2 CXC 90
"3"" CU Sweat 90",ELKHART PRODUCTS CORP,EPC10031338MUELW02088,3 CXC 90
"6"" CU Sweat 90",ELKHART PRODUCTS CORP,EPC10031368(1/BX)(1/CASE),6 CXC 90 EL
"4"" NHCI P-Trap w/ 1/2"" Primer Tap",AB&I FOUNDRY,AB&I08534,4 NO HUB TAPPED P-TRAP
"6"" NHCI P-Trap w/ 1/2"" Primer Tap",CHARLOTTE PIPE & FOUNDRY,1/2INTAPCHARLOTTE13917,6 NO HUB TAPPED P-TRAP
"8""x6"" NHCI Short Reducer",AB&I FOUNDRY,SHORTPATTERNAB&I02168,8X6 NO HUB REDUCER
"6""x4"" NHCI Wye",AB&I FOUNDRY,AB&I01338,6X4 NO HUB WYE
"6"" Type K CU Tube",OTHER MANUFACTURERS,KHARDU20,6 X 20 K HARD COP TUBE
"6"" Type K CU Tube",OTHER MANUFACTURERS,KHARDU20,6 X 20 K HARD COP TUBE
1/2 inch pex rings,UPONOR INC,UPOQ4690512,1/2 PROPEX RING W/STOP BG=50
1/2 inch wisbo brass pex couplings,UPONOR INC,UPOLF4545050,1/2 PEX LF BRS CPLG BG=25
1/2 inch poly pex caps,UPONOR INC,UPOQ4350500,1/2 PEX PLUG BG=25
1/2 inch pex by 1/2 inch brass mip adaptors,UPONOR INC,UPOLF4525050,1/2 PEXXMIP LF ADAPT BG=25
1/2 inch pex by 1/2 inch mip by pex 90's adaptors,UPONOR INC,UPOLF4125050,1/2X1/2 LF PEXXMIP BRS STREET
1/2 inch sleeved pex tubing 400 FEET,UPONOR,UF1091500,1/2X400 PRE SLVED AQUAPEX BLUE
